neigbourhood,add1,add2,postal,des,builtuparea,noofrooms,nooftoilets,price S$,psf S$,agent,ref
Jurong East,"Jurong East, Blk 232","Blk 232, JURONG EAST STREET 21, 600232",600232,4 Rooms HDB Flat,1055,3,2,400000,379.15,Grace Liu - PROPNEX REALTY PTE LTD,/jurong-east/sale-13578420/
Jurong East,"Jurong East, Blk 44","Blk 44, TEBAN GARDENS ROAD, 600044",600044,4 Rooms HDB Flat,1001,3,1,388000,387.74,Eric Tay - PROPNEX REALTY PTE LTD,/jurong-east/sale-13296034/
Jurong East,"Jurong East, Blk 60","Blk 60, Teban Gardens Road, 600060",600060,4 Rooms HDB Flat,947,3,2,380000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-east/sale-14005053/
Jurong West,"Jurong West, Blk 326","Blk 326, Tah Ching Road, 610326",610326,4 Rooms HDB Flat,11119,3,2,380000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14005063/
Jurong West,"Jurong West, Blk 847","Blk 847, JURONG WEST STREET 81, 640847",640847,5 Rooms HDB Flat,1388,4,2,388000,279.54,Mar Inn Chee - MAR PROPERTY NETWORK PTE. LTD.,/jurong-west/sale-13431571/
Jurong West,"Jurong West, Blk 850","Blk 850, Jurong West Street 81, 640850",640850,5 Rooms HDB Flat,1378,3,2,388000,371.74721189591077,Alvin Ong - ERA REALTY NETWORK PTE LTD,/jurong-west/sale-14106992/
Jurong West,"Jurong West, Blk 732","Blk 732, JURONG WEST STREET 73, 640732",640732,5 Rooms HDB Flat,1324,3,2,399000,301.36,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14111862/
Jurong West,"Jurong West, Blk 923","Blk 923, JURONG WEST STREET 92, 640923",640923,5 Rooms HDB Flat,1313,4,2,385000,293.22,Chanelle K Noor - LHG PROPERTIES PTE LTD.,/jurong-west/sale-13927292/
Jurong West,"Jurong West, Blk 905","Blk 905, JURONG WEST STREET 91, 640905",640905,5 Rooms HDB Flat,1313,3,2,390000,297.03,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14098200/
Jurong West,"Jurong West, Blk 731","Blk 731, JURONG WEST STREET 72, 640731",640731,4 Rooms HDB Flat,1194,3,2,299000,250.42,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-13286545/
Jurong West,"Jurong West, Blk 664D","Blk 664D, JURONG WEST STREET 64, 644664",644664,5 Rooms HDB Flat,1184,3,2,399000,336.99,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-13498098/
Jurong West,"Jurong West, Blk 759","Blk 759, JURONG WEST STREET 74, 640759",640759,4 Rooms HDB Flat,1173,3,2,375000,319.69,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14108978/
Jurong West,"Jurong West, Blk 943","Blk 943, JURONG WEST STREET 91, 640943",640943,4 Rooms HDB Flat,1130,3,2,328000,290.32,Kiegan Chia - CS PROP PTE. LTD.,/jurong-west/sale-14057523/
Jurong West,"Jurong West, Blk 948","Blk 948, JURONG WEST STREET 91, 640948",640948,3 Rooms HDB Flat,1130,3,2,330000,292.04,CH Tan  - PROPNEX REALTY PTE LTD,/jurong-west/sale-14080980/
Jurong West,"Jurong West, Blk 903","Blk 903, JURONG WEST STREET 91, 640903",640903,4 Rooms HDB Flat,1119,3,2,350000,312.78,Alvin Lim - PROPNEX REALTY PTE LTD,/jurong-west/sale-13408420/
Jurong West,"Jurong West, Blk 440","Blk 440, JURONG WEST AVENUE 1, 640440",640440,4 Rooms HDB Flat,1109,3,2,318000,286.74,Alvin Lim - PROPNEX REALTY PTE LTD,/jurong-west/sale-13570220/
Jurong West,"Jurong West, Blk 411","Blk 411, JURONG WEST STREET 42, 640411",640411,4 Rooms HDB Flat,1109,3,2,320000,288.74,Ivan Thiam  - KF PROPERTY NETWORK PTE LTD,/jurong-west/sale-13470745/
Jurong West,"Jurong West, Blk 353","Blk 353, Kang Ching Road, 610353",610353,4 Rooms HDB Flat,1097,3,2,390000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14007494/
Jurong West,"Jurong West, Blk 481","Blk 481, JURONG WEST STREET 41, 640481",640481,4 Rooms HDB Flat,1076,3,2,330000,306.69,Mar Inn Chee - MAR PROPERTY NETWORK PTE. LTD.,/jurong-west/sale-13410134/
Jurong West,"Jurong West, Blk 639","Blk 639, JURONG WEST STREET 61, 640639",640639,4 Rooms HDB Flat,1076,3,2,365000,339.22,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14106744/
Jurong West,"Jurong West, Blk 646","Blk 646, Jurong West Street 61, 640646",640646,4 Rooms HDB Flat,1076,3,2,380000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/jurong-west/sale-14092610/
Jurong West,"Jurong West, Blk 646","Blk 646, Jurong West Street 61, 640646",640646,4 Rooms HDB Flat,1076,3,2,380000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/jurong-west/sale-13991195/
Jurong West,"Jurong West, Blk 646","Blk 646, JURONG WEST STREET 61, 640646",640646,4 Rooms HDB Flat,1076,3,2,380000,353.16,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/jurong-west/sale-13708808/
Jurong West,"Jurong West, Blk 640","Blk 640, JURONG WEST STREET 61, 640640",640640,4 Rooms HDB Flat,1076,3,2,400000,371.75,Sherlyn Yeoh - PROPNEX REALTY PTE LTD,/jurong-west/sale-13845378/
Jurong West,"Jurong West, Blk 640","Blk 640, JURONG WEST STREET 61, 640640",640640,4 Rooms HDB Flat,1076,3,2,400000,371.75,Chanelle K Noor - LHG PROPERTIES PTE LTD.,/jurong-west/sale-13927293/
Jurong West,"Jurong West, Blk 521","Blk 521, JURONG WEST STREET 52, 640521",640521,4 Rooms HDB Flat,1023,3,2,385000,376.64,Alton Boo - PROPNEX REALTY PTE LTD,/jurong-west/sale-4036454/
Jurong West,"Jurong West, Blk 681C","Blk 681C, JURONG WEST CENTRAL 1, 643681",643681,4 Rooms HDB Flat,1001,3,2,380000,379.74,Felix Ting - KF PROPERTY NETWORK PTE LTD,/jurong-west/sale-13988304/
Jurong West,"Jurong West, Blk 684C","Blk 684C, Jurong West Street 64, 643684",643684,4 Rooms HDB Flat,1001,3,2,388000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-13666340/
Jurong West,"Jurong West, Blk 632","Blk 632, JURONG WEST STREET 65, 640632",640632,4 Rooms HDB Flat,979,3,3,370000,377.94,Joan Bagus - PROPNEX REALTY PTE LTD,/jurong-west/sale-14100911/
Jurong West,"Jurong West, Blk 664C","Blk 664C, 664C Jurong West Street 64, 643664",643664,4 Rooms HDB Flat,979,3,2,400000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/jurong-west/sale-14110704/
Jurong West,"Jurong West, Blk 664C","Blk 664C, 664C Jurong West Street 64, 643664",643664,4 Rooms HDB Flat,979,3,2,400000,371.74721189591077,Azhar Sulaiman - PROPNEX REALTY PTE LTD,/jurong-west/sale-14109860/
Kallang/Whampoa,"Kallang/Whampoa, Blk 99","Blk 99, WHAMPOA DRIVE, 320099",320099,4 Rooms HDB Flat,980,3,2,375000,382.98,Parry Tiwari  - ERA REALTY NETWORK PTE LTD,/kallang-whampoa/sale-14092280/
Kallang/Whampoa,"Kallang/Whampoa, Blk 93","Blk 93, WHAMPOA DRIVE, 320093",320093,3 Rooms HDB Flat,721,3,1,315000,436.89,Nicholas John A - PROPNEX REALTY PTE LTD,/kallang-whampoa/sale-11043827/
Kallang/Whampoa,"Kallang/Whampoa, Blk 75","Blk 75, WHAMPOA DRIVE, 320075",320075,3 Rooms HDB Flat,721,3,2,350000,485.49,Nicholas John A - PROPNEX REALTY PTE LTD,/kallang-whampoa/sale-13304576/
Pasir Ris,"Pasir Ris, Blk 230","Blk 230, PASIR RIS STREET 21, 510230",510230,4 Rooms HDB Flat,1152,3,2,373000,323.98,Ashley Chai  - ERA REALTY NETWORK PTE LTD,/pasir-ris/sale-13396725/
Pasir Ris,"Pasir Ris, Blk 230","Blk 230, PASIR RIS STREET 21, 510230",510230,4 Rooms HDB Flat,1152,3,2,373000,323.98,Aaron Loon - ERA REALTY NETWORK PTE LTD,/pasir-ris/sale-13400336/
Pasir Ris,"Pasir Ris, Blk 234","Blk 234, PASIR RIS DRIVE 4, 510234",510234,4 Rooms HDB Flat,1140,3,2,390000,342.11,Parry Tiwari  - ERA REALTY NETWORK PTE LTD,/pasir-ris/sale-14100764/
Pasir Ris,"Pasir Ris, Blk 427","Blk 427, PASIR RIS DRIVE 6, 510427",510427,4 Rooms HDB Flat,904,3,2,380000,420.35,Nasser A L - ERA REALTY NETWORK PTE LTD,/pasir-ris/sale-13996325/
Queenstown,"Queenstown, Blk 21","Blk 21, DOVER CRESCENT, 130021",130021,3 Rooms HDB Flat,700,3,1,349000,498.57,Ronnie Ong Eng Hock - ORANGETEE & TIE PTE LTD,/queenstown/sale-14073040/
Queenstown,"Queenstown, Blk 5","Blk 5, GHIM MOH ROAD, 270005",270005,3 Rooms HDB Flat,700,3,1,365000,521.88,Kiegan Chia - CS PROP PTE. LTD.,/queenstown/sale-14063427/
Queenstown,"Queenstown, Blk 21","Blk 21, Dover Crescent, 130021",130021,3 Rooms HDB Flat,699,3,2,368000,371.74721189591077,Jackson Goh - GEX REAL ESTATE PTE LTD,/queenstown/sale-14113052/
Queenstown,"Queenstown, Blk 99","Blk 99, Commonwealth Crescent, 140099",140099,3 Rooms HDB Flat,689,3,1,288000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/queenstown/sale-14044225/
Queenstown,"Queenstown, Blk 99","Blk 99, Commonwealth Crescent, 140099",140099,3 Rooms HDB Flat,689,3,1,288000,371.74721189591077,Joan Bagus - PROPNEX REALTY PTE LTD,/queenstown/sale-14044223/
